Keyword,Score
study,197.19177796961353
dopamine,170.66028579533534
telegram,146.89465552789378
phone,144.93764525449723
health,141.77086938535192
mental,137.20055958716975
social,133.52674647018083
addiction,133.45219968749655
focus,125.6389883056106
medium,125.5555886550859
screen,119.01056196974557
sleep,117.97575292874176
day,113.9516224859853
meditation,106.04463998997949
detox,104.67411311308572
tiktok,103.82994679459934
life,101.8939799318016
work,98.71358983404446
hour,91.93108574421491
dont,91.06780968211666
instagram,90.88493226670704
feel,90.62600340036673
center,89.06661609232641
year,86.09360553353186
productivity,82.36410700438722
anxiety,82.05811075434042
facebook,80.1221692418233
good,78.54383602639797
help,78.39927323653397
need,76.81584213576662
way,72.56335266541805
think,71.43064953455327
short,69.99106083512883
stress,67.60147500843863
brain,66.64659169899635
depression,63.23278049034411
want,63.18345959308167
better,60.64266892644631
digital,59.05357702595707
game,57.11747559524979
stop,54.98000916043281
ive,53.79947597210256
но,51.88043518996325
internet,51.757189143114786
app,51.41009711820488
можно,50.25489273123111
lot,49.708865446407934
actually,48.57482392230684
content,47.573060738770494
problem,45.444832433392634
bad,44.1601266906955
start,42.99118125054402
book,42.27648222527849
friend,42.111026165504995
чтобы,39.07667401833578
психолог,38.65793426072778
за,37.45532091050982
вас,37.43806110785522
которые,36.55280880372877
быть,35.21066543006653
когда,34.47367279244041
будет,34.1543121384756
ли,34.13133971873957
том,32.01239755042255
почему,31.270923451428235
онлайн,30.625876441274556
специалистов,30.351928064758134
мнс,30.30707438529909
могут,29.806901824951375
только,29.26174107146993
жизни,29.082444334670395
все,28.73024714808038
уже,28.176116784287743
также,27.443930276624595
со,26.858242085733977
людей,26.588803389710726
кто,26.457935004333354
этом,26.37949160211288
работы,25.428886010806707
где,25.403184993317883
специалисты,25.34856605907384
то,25.147366012207534
чем,25.064071797342162
терапии,24.768480895831484
себя,24.524254783070404
даже,24.018485459922545
дбт,23.788476444486598
помощь,23.721210406668774
вам,23.136451773035436
можете,22.01167449282636
человек,21.650294379631347
помочь,21.59019183397147
например,20.569658829727175
клинический,20.444138431685612
поведения,20.19095599702982
часто,20.10776115309182
группа,20.09581673930626
более,19.711803214724718
навыков,19.65750412285329
клиентов,19.466738613493764
